"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10","microRNA 11"
"CTXN1","0.0132","0.379","0.234","4","hsa-miR-4787-5p","hsa-miR-6088","hsa-miR-7110-5p","hsa-miR-92a-2-5p","","","","","","",""
"KHSRP","0.0132","0.379","0.405","8","hsa-miR-1343-3p","hsa-miR-128-1-5p","hsa-miR-92b-5p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-6805-5p","hsa-miR-1233-5p","hsa-miR-7110-5p","","",""
"MRPL44","0.0132","0.379","0.234","4","hsa-miR-3180","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","","","","","","",""
"DIRAS1","0.0142","0.389","0.173","3","hsa-miR-4706","hsa-miR-92a-2-5p","hsa-miR-4258","","","","","","","",""
"HAAO","0.0142","0.389","0.173","3","hsa-miR-6088","hsa-miR-128-1-5p","hsa-miR-4787-5p","","","","","","","",""
"HOXB8","0.0142","0.389","0.173","3","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4687-5p","","","","","","","",""
"NPR1","0.0147","0.389","0.341","6","hsa-miR-1343-3p","hsa-miR-6131","hsa-miR-1228-5p","hsa-miR-6088","hsa-miR-4419b","hsa-miR-6746-5p","","","","",""
"PCGF3","0.0138","0.389","0.291","5","hsa-miR-92a-2-5p","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4419b","","","","","",""
"PCSK4","0.0146","0.389","0.0952","2","hsa-miR-6787-5p","hsa-miR-663a","","","","","","","","",""
"PHLDA3","0.0147","0.389","0.341","6","hsa-miR-92a-2-5p","hsa-miR-1307-3p","hsa-miR-4787-5p","hsa-miR-125a-3p","hsa-miR-6131","hsa-miR-4532","","","","",""
"RNASEK","0.0146","0.389","0.0952","2","hsa-miR-92b-5p","hsa-miR-4648","","","","","","","","",""
"SEMA3F","0.0142","0.389","0.173","3","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","","",""
"THSD4","0.0150","0.392","0.242","4","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","","","","","","",""
"OSTF1","0.0159","0.412","0.247","4","hsa-miR-4258","hsa-miR-125a-3p","hsa-miR-6131","hsa-miR-6088","","","","","","",""
"CARD10","0.0169","0.418","0.185","3","hsa-miR-92a-2-5p","hsa-miR-4481","hsa-miR-4532","","","","","","","",""
"DUSP14","0.0169","0.418","0.185","3","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","","","","","","","",""
"MIB2","0.0173","0.418","0.104","2","hsa-miR-4787-3p","hsa-miR-6805-5p","","","","","","","","",""
"PMP22","0.0173","0.418","0.104","2","hsa-miR-1233-5p","hsa-miR-4648","","","","","","","","",""
"PPIB","0.0169","0.418","0.185","3","hsa-miR-6784-5p","hsa-miR-3184-5p","hsa-miR-4481","","","","","","","",""
"RNASEH2B","0.0168","0.418","0.251","4","hsa-miR-1233-5p","hsa-miR-4481","hsa-miR-6746-5p","hsa-miR-4419b","","","","","","",""
"SDK1","0.0169","0.418","0.185","3","hsa-miR-125a-3p","hsa-miR-128-1-5p","hsa-miR-6784-5p","","","","","","","",""
"SF3B5","0.0173","0.418","0.0173","1","hsa-miR-1307-3p","","","","","","","","","",""
"VGF","0.0173","0.418","0.104","2","hsa-miR-6787-5p","hsa-miR-663a","","","","","","","","",""
"MED7","0.0178","0.427","0.255","4","hsa-miR-3940-5p","hsa-miR-1307-3p","hsa-miR-4419b","hsa-miR-6746-5p","","","","","","",""
"NDRG3","0.0184","0.431","0.190","3","hsa-miR-6805-5p","hsa-miR-4419b","hsa-miR-6746-5p","","","","","","","",""
"PTPRF","0.0182","0.431","0.312","5","hsa-miR-575","hsa-miR-4532","hsa-miR-4730","hsa-miR-7110-5p","hsa-miR-4787-5p","","","","","",""
"SWSAP1","0.0184","0.431","0.190","3","hsa-miR-1307-3p","hsa-miR-125a-3p","hsa-miR-6088","","","","","","","",""
"MICAL2","0.0189","0.435","0.260","4","hsa-miR-4730","hsa-miR-5572","hsa-miR-663a","hsa-miR-6787-5p","","","","","","",""
"RHOA","0.0191","0.435","0.315","5","hsa-miR-125a-3p","hsa-miR-1233-5p","hsa-miR-4675","hsa-miR-128-1-5p","hsa-miR-92a-2-5p","","","","","",""
"SRD5A1","0.0189","0.435","0.260","4","hsa-miR-1233-5p","hsa-miR-4481","hsa-miR-6746-5p","hsa-miR-4419b","","","","","","",""
