"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"ZNF860","0.0357","0.601","0.245","3","hsa-miR-490-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"ZNF865","0.0380","0.601","0.156","2","hsa-miR-1254","hsa-miR-4722-3p","","","",""
"HIST1H2BJ","0.0461","0.606","0.272","3","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-512-3p","","",""
"HYPK","0.0461","0.606","0.272","3","hsa-miR-512-3p","hsa-miR-498","hsa-miR-3124-3p","","",""
"NCOA7","0.0458","0.606","0.173","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"PIWIL1","0.0458","0.606","0.173","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"RBFOX2","0.0461","0.606","0.272","3","hsa-miR-498","hsa-miR-106a-3p","hsa-miR-548l","","",""
"RFWD3","0.0458","0.606","0.173","2","hsa-miR-5583-3p","hsa-miR-1254","","","",""
"SPIC","0.0458","0.606","0.173","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"TXK","0.0461","0.606","0.272","3","hsa-miR-512-3p","hsa-miR-4722-3p","hsa-miR-498","","",""
"ABCD2","0.0541","0.619","0.190","2","hsa-miR-1208","hsa-miR-4722-3p","","","",""
"ABHD18","0.245","0.619","0.474","2","hsa-miR-4281","hsa-miR-512-3p","","","",""
"ACBD7","0.121","0.619","0.301","2","hsa-miR-4722-3p","hsa-miR-2277-3p","","","",""
"ACER2","0.139","0.619","0.329","2","hsa-miR-498","hsa-miR-27a-5p","","","",""
"ADD1","0.143","0.619","0.335","2","hsa-miR-27a-5p","hsa-miR-4722-3p","","","",""
"ADK","0.0570","0.619","0.195","2","hsa-miR-4680-5p","hsa-miR-498","","","",""
"AGAP9","0.245","0.619","0.474","2","hsa-miR-5583-3p","hsa-miR-4802-3p","","","",""
"AGO3","0.141","0.619","0.508","4","hsa-miR-512-3p","hsa-miR-4680-5p","hsa-miR-106a-3p","hsa-miR-6829-3p","",""
"AGO4","0.124","0.619","0.307","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"AGTPBP1","0.175","0.619","0.379","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"AHCYL2","0.249","0.619","0.480","2","hsa-miR-3124-3p","hsa-miR-196a-3p","","","",""
"AKAP2","0.151","0.619","0.346","2","hsa-miR-106a-3p","hsa-miR-6829-3p","","","",""
"AKIRIN1","0.0560","0.619","0.294","3","hsa-miR-1207-3p","hsa-miR-3140-5p","hsa-miR-4722-3p","","",""
"AKT1","0.183","0.619","0.391","2","hsa-miR-451a","hsa-miR-27a-5p","","","",""
"ALDH6A1","0.121","0.619","0.301","2","hsa-miR-6829-3p","hsa-miR-1254","","","",""
"ANKMY1","0.147","0.619","0.340","2","hsa-miR-1254","hsa-miR-2277-3p","","","",""
"ANKRD62","0.0629","0.619","0.206","2","hsa-miR-1254","hsa-miR-4722-3p","","","",""
"ANKRD9","0.0787","0.619","0.234","2","hsa-miR-3124-3p","hsa-miR-106a-3p","","","",""
"ANKS4B","0.199","0.619","0.413","2","hsa-miR-1254","hsa-miR-512-3p","","","",""
"ANP32E","0.295","0.619","0.541","2","hsa-miR-3973","hsa-miR-548l","","","",""
"APOH","0.0787","0.619","0.234","2","hsa-miR-6829-3p","hsa-miR-512-3p","","","",""
"APTX","0.0691","0.619","0.218","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"ARFGEF3","0.0886","0.619","0.251","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"ARHGAP29","0.0599","0.619","0.201","2","hsa-miR-6829-3p","hsa-miR-490-3p","","","",""
"ARSE","0.128","0.619","0.312","2","hsa-miR-4722-3p","hsa-miR-196a-3p","","","",""
"AS3MT","0.228","0.619","0.452","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"ASB16","0.137","0.619","0.502","4","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-512-3p","",""
"ATG12","0.143","0.619","0.335","2","hsa-miR-106a-3p","hsa-miR-196a-3p","","","",""
"ATG14","0.0691","0.619","0.218","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"ATP1B3","0.262","0.619","0.497","2","hsa-miR-512-3p","hsa-miR-196a-3p","","","",""
"ATP5G3","0.287","0.619","0.530","2","hsa-miR-548l","hsa-miR-5583-3p","","","",""
"ATP6V0E1","0.295","0.619","0.541","2","hsa-miR-3140-5p","hsa-miR-548l","","","",""
"B2M","0.0853","0.619","0.245","2","hsa-miR-3973","hsa-miR-4802-3p","","","",""
"BAMBI","0.207","0.619","0.424","2","hsa-miR-3124-3p","hsa-miR-1207-3p","","","",""
"BCAS4","0.278","0.619","0.519","2","hsa-miR-512-3p","hsa-miR-196a-3p","","","",""
"BMPR1A","0.124","0.619","0.413","3","hsa-miR-548l","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"BRIX1","0.291","0.619","0.536","2","hsa-miR-548l","hsa-miR-3124-3p","","","",""
