"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"CCDC121","0.169","0.592","0.183","1","hsa-miR-371b-5p","","","","","",""
"CCDC141","0.195","0.592","0.215","1","hsa-miR-7703","","","","","",""
"CCDC171","0.0310","0.592","0.140","2","hsa-miR-4282","hsa-miR-3130-3p","","","","",""
"CCDC39","0.213","0.592","0.237","1","hsa-miR-5587-5p","","","","","",""
"CCDC47","0.204","0.592","0.226","1","hsa-miR-660-5p","","","","","",""
"CCDC58","0.169","0.592","0.183","1","hsa-miR-4282","","","","","",""
"CCDC65","0.150","0.592","0.162","1","hsa-miR-371b-5p","","","","","",""
"CCDC69","0.317","0.592","0.377","1","hsa-miR-6829-3p","","","","","",""
"CCDC8","0.246","0.592","0.280","1","hsa-miR-7703","","","","","",""
"CCDC81","0.0424","0.592","0.0431","1","hsa-miR-6802-3p","","","","","",""
"CCDC83","0.213","0.592","0.237","1","hsa-miR-4524b-5p","","","","","",""
"CCDC86","0.310","0.592","0.366","1","hsa-miR-4722-3p","","","","","",""
"CCNB1","0.228","0.592","0.452","2","hsa-miR-548h-5p","hsa-miR-7703","","","","",""
"CCNB1IP1","0.271","0.592","0.312","1","hsa-miR-1253","","","","","",""
"CCND3","0.271","0.592","0.312","1","hsa-miR-6722-3p","","","","","",""
"CCNE1","0.310","0.592","0.366","1","hsa-miR-4524b-5p","","","","","",""
"CCNQ","0.178","0.592","0.194","1","hsa-miR-6802-3p","","","","","",""
"CCPG1","0.00412","0.592","0.111","3","hsa-miR-6847-3p","hsa-miR-4282","hsa-miR-6774-3p","","","",""
"CCS","0.0513","0.592","0.284","3","hsa-miR-6802-3p","hsa-miR-371b-5p","hsa-miR-4282","","","",""
"CCT4","0.339","0.592","0.409","1","hsa-miR-7703","","","","","",""
"CD207","0.113","0.592","0.119","1","hsa-miR-7854-3p","","","","","",""
"CD68","0.178","0.592","0.194","1","hsa-miR-4282","","","","","",""
"CD9","0.132","0.592","0.140","1","hsa-miR-4282","","","","","",""
"CD99L2","0.0630","0.592","0.0646","1","hsa-miR-4722-3p","","","","","",""
"CDC14B","0.318","0.592","0.571","2","hsa-miR-7703","hsa-miR-4722-3p","","","","",""
"CDC25A","0.0999","0.592","0.269","2","hsa-miR-4524b-5p","hsa-miR-6829-3p","","","","",""
"CDC27","0.0192","0.592","0.194","3","hsa-miR-4282","hsa-miR-1253","hsa-miR-218-2-3p","","","",""
"CDC37L1","0.0380","0.592","0.156","2","hsa-miR-4524b-5p","hsa-miR-4282","","","","",""
"CDC42EP4","0.143","0.592","0.334","2","hsa-miR-1229-3p","hsa-miR-1227-5p","","","","",""
"CDC42SE2","0.204","0.592","0.226","1","hsa-miR-4524b-5p","","","","","",""
"CDCA4","0.338","0.592","0.598","2","hsa-miR-7854-3p","hsa-miR-4524b-5p","","","","",""
"CDH2","0.230","0.592","0.259","1","hsa-miR-412-3p","","","","","",""
"CDH22","0.0108","0.592","0.0108","1","hsa-miR-412-3p","","","","","",""
"CDK17","0.246","0.592","0.280","1","hsa-miR-4524b-5p","","","","","",""
"CDK5R1","0.0288","0.592","0.135","2","hsa-miR-7703","hsa-miR-5587-5p","","","","",""
"CDT1","0.0932","0.592","0.259","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","","",""
"CDX1","0.0831","0.592","0.0862","1","hsa-miR-4282","","","","","",""
"CDX2","0.150","0.592","0.162","1","hsa-miR-4722-3p","","","","","",""
"CEACAM19","0.122","0.592","0.129","1","hsa-miR-4722-3p","","","","","",""
"CEACAM5","0.169","0.592","0.183","1","hsa-miR-4722-3p","","","","","",""
"CELF1","0.00526","0.592","0.320","7","hsa-miR-1229-3p","hsa-miR-412-3p","hsa-miR-6847-3p","hsa-miR-5587-5p","hsa-miR-4741","hsa-miR-6722-3p","hsa-miR-7854-3p"
"CELSR3","0.177","0.592","0.382","2","hsa-miR-548h-5p","hsa-miR-6769b-5p","","","","",""
"CENPI","0.0267","0.592","0.129","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","","",""
"CENPJ","0.141","0.592","0.151","1","hsa-miR-412-3p","","","","","",""
"CENPL","0.0535","0.592","0.189","2","hsa-miR-412-3p","hsa-miR-371b-5p","","","","",""
