"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"GFER","0.140","0.458","0.150","1","hsa-miR-4472","","","",""
"GFM1","0.0285","0.458","0.0289","1","hsa-miR-4647","","","",""
"GFRA1","0.180","0.458","0.196","1","hsa-miR-139-3p","","","",""
"GIMAP4","0.189","0.458","0.208","1","hsa-miR-548h-5p","","","",""
"GLI2","0.184","0.458","0.202","1","hsa-miR-6769b-5p","","","",""
"GNB2","0.135","0.458","0.144","1","hsa-miR-4472","","","",""
"GOLGA8A","0.0234","0.458","0.121","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"GOLGA8B","0.0374","0.458","0.156","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"GPAT4","0.107","0.458","0.283","2","hsa-miR-4472","hsa-miR-3178","","",""
"GPI","0.145","0.458","0.156","1","hsa-miR-6895-3p","","","",""
"GPR20","0.125","0.458","0.133","1","hsa-miR-4749-5p","","","",""
"GPR82","0.180","0.458","0.196","1","hsa-miR-6769b-5p","","","",""
"GRB2","0.104","0.458","0.277","2","hsa-miR-4749-5p","hsa-miR-3155b","","",""
"GRM5","0.165","0.458","0.179","1","hsa-miR-548h-5p","","","",""
"GZMM","0.0453","0.458","0.0462","1","hsa-miR-139-3p","","","",""
"HAND2","0.120","0.458","0.127","1","hsa-miR-139-3p","","","",""
"HAUS5","0.203","0.458","0.225","1","hsa-miR-6769b-5p","","","",""
"HELLS","0.0618","0.458","0.0635","1","hsa-miR-6895-3p","","","",""
"HEMK1","0.0887","0.458","0.0923","1","hsa-miR-4472","","","",""
"HHAT","0.0887","0.458","0.0923","1","hsa-miR-6895-3p","","","",""
"HIC1","0.0672","0.458","0.0693","1","hsa-miR-4749-5p","","","",""
"HIST1H2AE","0.165","0.458","0.179","1","hsa-miR-6769b-5p","","","",""
"HIST1H2AH","0.0630","0.458","0.208","2","hsa-miR-139-3p","hsa-miR-6869-3p","","",""
"HIST1H2BN","0.104","0.458","0.110","1","hsa-miR-139-3p","","","",""
"HIST1H4C","0.104","0.458","0.110","1","hsa-miR-6895-3p","","","",""
"HIST2H2BE","0.208","0.458","0.231","1","hsa-miR-6769b-5p","","","",""
"HIST3H3","0.155","0.458","0.167","1","hsa-miR-6769b-5p","","","",""
"HLA-A","0.203","0.458","0.225","1","hsa-miR-139-3p","","","",""
"HOXC6","0.170","0.458","0.185","1","hsa-miR-6769b-5p","","","",""
"HOXD11","0.194","0.458","0.214","1","hsa-miR-4749-5p","","","",""
"HOXD3","0.150","0.458","0.162","1","hsa-miR-4749-5p","","","",""
"HSPA14","0.160","0.458","0.173","1","hsa-miR-4472","","","",""
"HUS1","0.155","0.458","0.167","1","hsa-miR-6769b-5p","","","",""
"ICK","0.170","0.458","0.185","1","hsa-miR-4439","","","",""
"ICOSLG","0.148","0.458","0.343","2","hsa-miR-937-5p","hsa-miR-6895-3p","","",""
"IFNGR2","0.120","0.458","0.127","1","hsa-miR-6895-3p","","","",""
"IL17RA","0.120","0.458","0.127","1","hsa-miR-4647","","","",""
"IL17REL","0.0278","0.458","0.133","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"IL2RA","0.0325","0.458","0.144","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"IVD","0.208","0.458","0.231","1","hsa-miR-937-5p","","","",""
"JMJD1C","0.203","0.458","0.225","1","hsa-miR-937-5p","","","",""
"JUN","0.199","0.458","0.219","1","hsa-miR-3178","","","",""
"JUNB","0.150","0.458","0.162","1","hsa-miR-3178","","","",""
"JUND","0.145","0.458","0.156","1","hsa-miR-6869-3p","","","",""
"KANK2","0.165","0.458","0.179","1","hsa-miR-139-3p","","","",""
"KCNE3","0.104","0.458","0.110","1","hsa-miR-4472","","","",""
"KCTD15","0.0742","0.458","0.228","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"KDM6B","0.0365","0.458","0.252","3","hsa-miR-3178","hsa-miR-4749-5p","hsa-miR-4472","",""
"KIAA1456","0.181","0.458","0.390","2","hsa-miR-4472","hsa-miR-3178","","",""
"KIAA1671","0.180","0.458","0.196","1","hsa-miR-6895-3p","","","",""
"KLF2","0.0215","0.458","0.206","3","hsa-miR-6895-3p","hsa-miR-3155b","hsa-miR-6869-3p","",""
"KLHL12","0.0400","0.458","0.162","2","hsa-miR-4472","hsa-miR-6895-3p","","",""
"KLHL38","0.0834","0.458","0.0866","1","hsa-miR-6857-3p","","","",""
"KLRC3","0.203","0.458","0.225","1","hsa-miR-548h-5p","","","",""
"KREMEN1","0.192","0.458","0.404","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"KRT78","0.0342","0.458","0.0346","1","hsa-miR-4647","","","",""
"KRTAP9-6","0.160","0.458","0.173","1","hsa-miR-4647","","","",""
"LARS","0.184","0.458","0.202","1","hsa-miR-3155b","","","",""
"LETMD1","0.0267","0.458","0.130","2","hsa-miR-4647","hsa-miR-6869-3p","","",""
"LHFPL3","0.189","0.458","0.208","1","hsa-miR-4749-5p","","","",""
"LHX9","0.0563","0.458","0.0577","1","hsa-miR-6895-3p","","","",""
"LILRB2","0.160","0.458","0.173","1","hsa-miR-937-5p","","","",""
"LIMCH1","0.155","0.458","0.167","1","hsa-miR-4462","","","",""
"LIMD2","0.184","0.458","0.202","1","hsa-miR-139-3p","","","",""
"LINC01556","0.203","0.458","0.225","1","hsa-miR-6895-3p","","","",""
"LMOD3","0.184","0.458","0.202","1","hsa-miR-3155b","","","",""
"LPP","0.160","0.458","0.361","2","hsa-miR-4647","hsa-miR-7846-3p","","",""
"LRP3","0.170","0.458","0.185","1","hsa-miR-4472","","","",""
"LRPPRC","0.0993","0.458","0.104","1","hsa-miR-139-3p","","","",""
"LRRC1","0.170","0.458","0.185","1","hsa-miR-4647","","","",""
"LRRC4","0.0940","0.458","0.0981","1","hsa-miR-6895-3p","","","",""
"LRRC45","0.0834","0.458","0.0866","1","hsa-miR-139-3p","","","",""
"LRRTM2","0.110","0.458","0.115","1","hsa-miR-6895-3p","","","",""
"LRTOMT","0.0440","0.458","0.170","2","hsa-miR-6769b-5p","hsa-miR-139-3p","","",""
"LSM14A","0.0525","0.458","0.188","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"LTBP4","0.135","0.458","0.144","1","hsa-miR-4749-5p","","","",""
"LURAP1L","0.120","0.458","0.127","1","hsa-miR-7846-3p","","","",""
"MACC1","0.126","0.458","0.312","2","hsa-miR-937-5p","hsa-miR-6895-3p","","",""
"MALL","0.125","0.458","0.133","1","hsa-miR-3178","","","",""
"MAN1C1","0.155","0.458","0.167","1","hsa-miR-6769b-5p","","","",""
"MAOB","0.125","0.458","0.133","1","hsa-miR-4647","","","",""
"MAP1S","0.180","0.458","0.196","1","hsa-miR-4472","","","",""
"MAP2K7","0.0930","0.458","0.260","2","hsa-miR-3155b","hsa-miR-3178","","",""
"MAPK8IP2","0.120","0.458","0.127","1","hsa-miR-4472","","","",""
"MBOAT1","0.0563","0.458","0.0577","1","hsa-miR-3178","","","",""
"MCU","0.189","0.458","0.208","1","hsa-miR-139-3p","","","",""
"MDFI","0.189","0.458","0.208","1","hsa-miR-6769b-5p","","","",""
"MDFIC","0.199","0.458","0.219","1","hsa-miR-548h-5p","","","",""
"MEF2D","0.181","0.458","0.390","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"METAP1","0.0780","0.458","0.0808","1","hsa-miR-6895-3p","","","",""
"METRN","0.0618","0.458","0.0635","1","hsa-miR-937-5p","","","",""
"MEX3A","0.102","0.458","0.274","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"MFRP","0.189","0.458","0.208","1","hsa-miR-6769b-5p","","","",""
