Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
IL2RA,0.0325,0.458,0.144,2,hsa-miR-4439,hsa-miR-6857-3p,,,
KCTD15,0.0742,0.458,0.228,2,hsa-miR-4439,hsa-miR-6857-3p,,,
KREMEN1,0.192,0.458,0.404,2,hsa-miR-4439,hsa-miR-6857-3p,,,
LSM14A,0.0525,0.458,0.188,2,hsa-miR-4439,hsa-miR-6857-3p,,,
MTPN,0.0362,0.458,0.153,2,hsa-miR-4439,hsa-miR-6857-3p,,,
MTX3,0.125,0.458,0.309,2,hsa-miR-4439,hsa-miR-6857-3p,,,
PDE4D,0.0362,0.458,0.153,2,hsa-miR-4439,hsa-miR-6857-3p,,,
PIGP,0.0584,0.458,0.199,2,hsa-miR-4439,hsa-miR-6857-3p,,,
POLA2,0.0468,0.458,0.176,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SERTAD2,0.0454,0.458,0.173,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SLC25A45,0.0877,0.458,0.251,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SMOC1,0.0758,0.458,0.231,2,hsa-miR-4439,hsa-miR-6857-3p,,,
TET3,0.123,0.458,0.306,2,hsa-miR-4439,hsa-miR-6857-3p,,,
YARS,0.0645,0.458,0.211,2,hsa-miR-4439,hsa-miR-6857-3p,,,
ZNF106,0.0693,0.458,0.219,2,hsa-miR-4439,hsa-miR-6857-3p,,,
ZNF440,0.0584,0.458,0.199,2,hsa-miR-4439,hsa-miR-6857-3p,,,
ZNF525,0.0278,0.458,0.133,2,hsa-miR-4439,hsa-miR-6857-3p,,,
TSC22D2,0.213,0.458,0.433,2,hsa-miR-4439,hsa-miR-6857-3p,,,
RBM23,0.224,0.461,0.447,2,hsa-miR-4439,hsa-miR-6857-3p,,,
CHAC1,0.146,0.458,0.341,2,hsa-miR-4472,hsa-miR-6857-3p,,,
MKNK2,0.312,0.471,0.563,2,hsa-miR-4749-5p,hsa-miR-6857-3p,,,
NUCB1,0.093,0.458,0.26,2,hsa-miR-6769b-5p,hsa-miR-6857-3p,,,
RNF165,0.0413,0.458,0.164,2,hsa-miR-937-5p,hsa-miR-6857-3p,,,
HIST1H2AH,0.063,0.458,0.208,2,hsa-miR-139-3p,hsa-miR-6869-3p,,,
LETMD1,0.0267,0.458,0.13,2,hsa-miR-4647,hsa-miR-6869-3p,,,
PDZD4,0.0108,0.405,0.0808,2,hsa-miR-4749-5p,hsa-miR-6869-3p,,,
ZNF787,0.0214,0.458,0.115,2,hsa-miR-4749-5p,hsa-miR-6869-3p,,,
PTBP1,0.113,0.458,0.291,2,hsa-miR-548h-5p,hsa-miR-6869-3p,,,
RCC2,0.181,0.458,0.39,2,hsa-miR-548h-5p,hsa-miR-6869-3p,,,
TMEM170A,0.121,0.458,0.303,2,hsa-miR-139-3p,hsa-miR-6895-3p,,,
LDLR,0.25,0.462,0.482,2,hsa-miR-3155b,hsa-miR-6895-3p,,,
KLHL12,0.04,0.458,0.162,2,hsa-miR-4472,hsa-miR-6895-3p,,,
PLA2G2C,0.0413,0.458,0.164,2,hsa-miR-4472,hsa-miR-6895-3p,,,
QSOX2,0.0525,0.458,0.188,2,hsa-miR-4472,hsa-miR-6895-3p,,,
RPP25,0.0387,0.458,0.159,2,hsa-miR-4472,hsa-miR-6895-3p,,,
RREB1,0.19,0.458,0.401,2,hsa-miR-4472,hsa-miR-6895-3p,,,
MRPS23,0.0792,0.458,0.237,2,hsa-miR-4647,hsa-miR-6895-3p,,,
DISC1,0.0289,0.458,0.136,2,hsa-miR-4749-5p,hsa-miR-6895-3p,,,
TRA2B,0.0661,0.458,0.214,2,hsa-miR-548h-5p,hsa-miR-6895-3p,,,
HMGN2,0.241,0.462,0.47,2,hsa-miR-548h-5p,hsa-miR-6895-3p,,,
XIAP,0.405,0.498,0.687,2,hsa-miR-548h-5p,hsa-miR-6895-3p,,,
TMED4,0.152,0.458,0.349,2,hsa-miR-6769b-5p,hsa-miR-6895-3p,,,
ULK1,0.0468,0.458,0.176,2,hsa-miR-6769b-5p,hsa-miR-6895-3p,,,
PHAX,0.213,0.458,0.433,2,hsa-miR-7846-3p,hsa-miR-6895-3p,,,
ICOSLG,0.148,0.458,0.343,2,hsa-miR-937-5p,hsa-miR-6895-3p,,,
MACC1,0.126,0.458,0.312,2,hsa-miR-937-5p,hsa-miR-6895-3p,,,
ULBP3,0.0725,0.458,0.225,2,hsa-miR-3178,hsa-miR-7846-3p,,,
ANKRD52,0.177,0.458,0.384,2,hsa-miR-4462,hsa-miR-7846-3p,,,
PRRC2B,0.196,0.458,0.41,2,hsa-miR-4472,hsa-miR-7846-3p,,,
LPP,0.16,0.458,0.361,2,hsa-miR-4647,hsa-miR-7846-3p,,,
C10orf76,0.0725,0.458,0.225,2,hsa-miR-6769b-5p,hsa-miR-7846-3p,,,
CDK9,0.0374,0.458,0.156,2,hsa-miR-6895-3p,hsa-miR-7846-3p,,,
MTDH,0.0584,0.458,0.199,2,hsa-miR-139-3p,hsa-miR-937-5p,,,
YPEL2,0.0184,0.458,0.107,2,hsa-miR-4647,hsa-miR-937-5p,,,
MRPS10,0.2,0.458,0.416,2,hsa-miR-6895-3p,hsa-miR-937-5p,,,
