Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
RBM3,0.017857142857142905,0.325,0.592,0.388,1,hsa-miR-4722-3p,,,,,,
RAB40A,0.017857142857142905,0.132,0.592,0.14,1,hsa-miR-1253,,,,,,
RBM22,0.017857142857142905,0.339,0.592,0.409,1,hsa-miR-7703,,,,,,
RAB40B,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-6829-3p,,,,,,
RAB40C,0.017857142857142905,0.325,0.592,0.388,1,hsa-miR-7854-3p,,,,,,
RAB9A,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-7854-3p,,,,,,
RABEPK,0.017857142857142905,0.0731,0.592,0.0754,1,hsa-miR-218-2-3p,,,,,,
RAD51D,0.017857142857142905,0.093,0.592,0.097,1,hsa-miR-5587-5p,,,,,,
RAD51L3-RFFL,0.017857142857142905,0.255,0.592,0.291,1,hsa-miR-371b-5p,,,,,,
RAET1E,0.017857142857142905,0.238,0.592,0.269,1,hsa-miR-6847-3p,,,,,,
