Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
TDGF1P3,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-6780a-5p,,,,,,,,
EPHB2,0.011111111111111072,0.46,0.713,0.606,1,hsa-miR-6780a-5p,,,,,,,,
PUM2,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-31-3p,,,,,,,,
OR2A4,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-6776-5p,,,,,,,,
OTUD5,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-4443,,,,,,,,
PAIP2B,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-4685-3p,,,,,,,,
PANK2,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-940,,,,,,,,
PCK1,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-1185-2-3p,,,,,,,,
PDPN,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-940,,,,,,,,
PDPR,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-17-3p,,,,,,,,
PFKFB2,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-1185-2-3p,,,,,,,,
PHF21B,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-1470,,,,,,,,
PJVK,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-6780a-5p,,,,,,,,
POC1B-GALNT4,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-944,,,,,,,,
POLR1A,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-940,,,,,,,,
PPIB,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-1202,,,,,,,,
PPP2R5D,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-17-3p,,,,,,,,
PRDX3,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-1290,,,,,,,,
NTN1,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-4313,,,,,,,,
NODAL,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-4313,,,,,,,,
NGDN,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-1202,,,,,,,,
MEN1,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-5698,,,,,,,,
LPXN,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-940,,,,,,,,
LRRC1,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-1185-2-3p,,,,,,,,
LTBP2,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-6730-5p,,,,,,,,
MAK,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-940,,,,,,,,
MB21D2,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-944,,,,,,,,
MED8,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-4685-3p,,,,,,,,
MFSD14A,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-944,,,,,,,,
NEK4,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-940,,,,,,,,
MON2,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-6776-5p,,,,,,,,
MRPL49,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-940,,,,,,,,
MYRF,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-17-3p,,,,,,,,
NCOA4,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-1185-2-3p,,,,,,,,
NCOA7,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-1185-2-3p,,,,,,,,
NDRG3,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-940,,,,,,,,
PTPRD,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-646,,,,,,,,
RAP1GAP2,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-5698,,,,,,,,
TBX18,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-646,,,,,,,,
RFFL,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-4685-3p,,,,,,,,
SLC2A8,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-3652,,,,,,,,
SMAD6,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-4685-3p,,,,,,,,
SMAGP,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-3652,,,,,,,,
SND1,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-1470,,,,,,,,
SNRNP27,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-944,,,,,,,,
SNRPB2,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-646,,,,,,,,
SNX4,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-944,,,,,,,,
SPIC,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-495-5p,,,,,,,,
SPIRE2,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-1470,,,,,,,,
SSH3,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-6743-3p,,,,,,,,
STAMBP,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-4489,,,,,,,,
