Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
SOCS7,0.0444444444444444,0.26,0.696,0.649,4,hsa-miR-1224-5p,hsa-miR-17-3p,hsa-miR-4443,hsa-miR-4489,,,,,
CALCOCO2,0.0444444444444444,0.0285,0.425,0.294,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,,,
OPTN,0.0444444444444444,0.00103,0.187,0.117,4,hsa-miR-17-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
DCTN5,0.0444444444444444,0.264,0.699,0.654,4,hsa-miR-320b,hsa-miR-320d,hsa-miR-646,hsa-miR-1470,,,,,
ERC1,0.0444444444444444,0.0299,0.433,0.299,4,hsa-miR-320b,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
FOLR1,0.0444444444444444,0.0299,0.433,0.299,4,hsa-miR-6780a-5p,hsa-miR-4472,hsa-miR-185-3p,hsa-miR-4489,,,,,
KAT7,0.0444444444444444,0.0299,0.433,0.299,4,hsa-miR-6780a-5p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
PNPLA6,0.0444444444444444,0.0299,0.433,0.299,4,hsa-miR-5698,hsa-miR-646,hsa-miR-6780a-5p,hsa-miR-7110-5p,,,,,
MEX3A,0.0444444444444444,0.0798,0.58,0.411,4,hsa-miR-4472,hsa-miR-5698,hsa-miR-4456,hsa-miR-4685-3p,,,,,
ATP1B4,0.0444444444444444,0.0343,0.443,0.312,4,hsa-miR-940,hsa-miR-941,hsa-miR-6780a-5p,hsa-miR-4769-5p,,,,,
RPS6KA4,0.0444444444444444,0.0374,0.456,0.32,4,hsa-miR-4472,hsa-miR-5698,hsa-miR-342-5p,hsa-miR-6819-5p,,,,,
EMC3,0.0444444444444444,0.0328,0.443,0.307,4,hsa-miR-5100,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,
AK3,0.0444444444444444,0.000761,0.171,0.108,4,hsa-miR-3652,hsa-miR-4685-3p,hsa-miR-504-3p,hsa-miR-5698,,,,,
RNF11,0.0444444444444444,0.268,0.699,0.658,4,hsa-miR-1202,hsa-miR-1227-3p,hsa-miR-17-3p,hsa-miR-1185-2-3p,,,,,
TRAPPC2,0.0444444444444444,0.135,0.643,0.498,4,hsa-miR-1227-3p,hsa-miR-4443,hsa-miR-940,hsa-miR-6780a-5p,,,,,
FEM1A,0.0444444444444444,0.57,0.739,0.991,4,hsa-miR-4472,hsa-miR-6780a-5p,hsa-miR-17-3p,hsa-miR-4456,,,,,
PLEKHM3,0.0444444444444444,0.0313,0.443,0.303,4,hsa-miR-6805-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
PRRT2,0.0444444444444444,0.0328,0.443,0.307,4,hsa-miR-6741-5p,hsa-miR-4483,hsa-miR-6776-5p,hsa-miR-5698,,,,,
SF3B3,0.0444444444444444,0.311,0.7,0.706,4,hsa-miR-4472,hsa-miR-5698,hsa-miR-1185-2-3p,hsa-miR-6780a-5p,,,,,
DNAJC10,0.0444444444444444,0.448,0.707,0.853,4,hsa-miR-646,hsa-miR-3652,hsa-miR-6780a-5p,hsa-miR-940,,,,,
HSP90AB1,0.0444444444444444,0.0374,0.456,0.32,4,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-17-3p,hsa-miR-5698,,,,,
OSBPL10,0.0444444444444444,0.0374,0.456,0.32,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6780a-5p,,,,,
PSMB5,0.0444444444444444,0.0407,0.471,0.329,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-4685-3p,hsa-miR-1470,,,,,
HEYL,0.0444444444444444,0.0534,0.513,0.359,4,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
TFAP4,0.0444444444444444,0.0407,0.471,0.329,4,hsa-miR-185-3p,hsa-miR-4443,hsa-miR-4472,hsa-miR-7110-5p,,,,,
RAB5C,0.0444444444444444,0.0924,0.596,0.433,4,hsa-miR-6730-5p,hsa-miR-342-5p,hsa-miR-5572,hsa-miR-6819-5p,,,,,
SLC25A33,0.0444444444444444,0.106,0.61,0.455,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6741-5p,,,,,
NFE2L1,0.0444444444444444,0.106,0.61,0.455,4,hsa-miR-342-5p,hsa-miR-4685-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,
TEX261,0.0444444444444444,0.0595,0.514,0.372,4,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-185-3p,hsa-miR-4489,,,,,
PIGO,0.0444444444444444,0.103,0.607,0.45,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1227-3p,,,,,
PLEKHM1,0.0444444444444444,0.1,0.598,0.446,4,hsa-miR-342-5p,hsa-miR-4472,hsa-miR-5698,hsa-miR-6819-5p,,,,,
GATAD2A,0.0444444444444444,0.1,0.598,0.446,4,hsa-miR-4472,hsa-miR-5698,hsa-miR-4443,hsa-miR-6730-5p,,,,,
ZNF749,0.0444444444444444,0.0924,0.596,0.433,4,hsa-miR-940,hsa-miR-941,hsa-miR-6780a-5p,hsa-miR-1227-3p,,,,,
FOSL1,0.0444444444444444,0.0637,0.53,0.381,4,hsa-miR-4472,hsa-miR-5698,hsa-miR-4483,hsa-miR-6741-5p,,,,,
TERF2,0.0444444444444444,0.0637,0.53,0.381,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,hsa-miR-6776-5p,,,,,
UBTF,0.0444444444444444,0.0637,0.53,0.381,4,hsa-miR-6819-5p,hsa-miR-4483,hsa-miR-342-5p,hsa-miR-5698,,,,,
LYRM4,0.0444444444444444,0.0681,0.534,0.39,4,hsa-miR-6776-5p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
RNF19B,0.0444444444444444,0.0898,0.596,0.429,4,hsa-miR-516a-5p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
NUCB1,0.0444444444444444,0.0681,0.534,0.39,4,hsa-miR-4483,hsa-miR-6730-5p,hsa-miR-940,hsa-miR-31-3p,,,,,
RAP2B,0.0444444444444444,0.0898,0.596,0.429,4,hsa-miR-6780a-5p,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-6776-5p,,,,,
PTBP1,0.0444444444444444,0.095,0.596,0.437,4,hsa-miR-17-3p,hsa-miR-940,hsa-miR-4440,hsa-miR-6076,,,,,
PGBD4,0.0444444444444444,0.0554,0.514,0.364,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6780a-5p,,,,,
PTPRF,0.0444444444444444,0.0681,0.534,0.39,4,hsa-miR-4472,hsa-miR-5698,hsa-miR-7110-5p,hsa-miR-646,,,,,
RHOA,0.0444444444444444,0.0704,0.547,0.394,4,hsa-miR-31-3p,hsa-miR-504-3p,hsa-miR-6877-5p,hsa-miR-4456,,,,,
MAPKAPK5,0.0444444444444444,0.376,0.7,0.775,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,hsa-miR-6780a-5p,,,,,
FSCN1,0.0444444444444444,0.0898,0.596,0.429,4,hsa-miR-17-3p,hsa-miR-185-3p,hsa-miR-3652,hsa-miR-4489,,,,,
RHOB,0.0444444444444444,0.0726,0.559,0.398,4,hsa-miR-1470,hsa-miR-342-5p,hsa-miR-6819-5p,hsa-miR-7110-5p,,,,,
ZNF264,0.0444444444444444,0.591,0.748,1.02,4,hsa-miR-495-5p,hsa-miR-4313,hsa-miR-1185-2-3p,hsa-miR-6780a-5p,,,,,
SPIB,0.0444444444444444,0.075,0.569,0.403,4,hsa-miR-4685-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
MAFF,0.0444444444444444,0.000158,0.121,0.0736,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-31-3p,,,,,
RAB11FIP1,0.0444444444444444,0.0847,0.585,0.42,4,hsa-miR-6805-3p,hsa-miR-5100,hsa-miR-3652,hsa-miR-504-3p,,,,,
WSB1,0.0444444444444444,0.0822,0.58,0.416,4,hsa-miR-5698,hsa-miR-504-3p,hsa-miR-6780a-5p,hsa-miR-940,,,,,
RNF40,0.0444444444444444,0.0798,0.58,0.411,4,hsa-miR-185-3p,hsa-miR-4472,hsa-miR-6076,hsa-miR-7110-5p,,,,,
PPIC,0.0444444444444444,0.0798,0.58,0.411,4,hsa-miR-31-3p,hsa-miR-5698,hsa-miR-504-3p,hsa-miR-4456,,,,,
GIGYF1,0.0444444444444444,0.645,0.765,1.09,4,hsa-miR-6780a-5p,hsa-miR-7110-5p,hsa-miR-185-3p,hsa-miR-4489,,,,,
GPR155,0.0444444444444444,0.0773,0.58,0.407,4,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,
TMCO1,0.0444444444444444,0.106,0.61,0.455,4,hsa-miR-5100,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,,,,,
ORAI2,0.0444444444444444,0.514,0.728,0.926,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,,,
ZNF106,0.0444444444444444,0.0407,0.471,0.329,4,hsa-miR-5698,hsa-miR-646,hsa-miR-3652,hsa-miR-504-3p,,,,,
BTG2,0.0444444444444444,0.632,0.761,1.07,4,hsa-miR-646,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-17-3p,,,,,
MRI1,0.0444444444444444,0.0424,0.477,0.333,4,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
ZNF747,0.0444444444444444,0.0424,0.477,0.333,4,hsa-miR-495-5p,hsa-miR-4483,hsa-miR-6741-5p,hsa-miR-940,,,,,
C10orf76,0.0444444444444444,0.0441,0.484,0.338,4,hsa-miR-7110-5p,hsa-miR-6780a-5p,hsa-miR-4483,hsa-miR-940,,,,,
NRF1,0.0444444444444444,0.0441,0.484,0.338,4,hsa-miR-6780a-5p,hsa-miR-6776-5p,hsa-miR-944,hsa-miR-504-3p,,,,,
NCOA3,0.0444444444444444,0.132,0.638,0.493,4,hsa-miR-342-5p,hsa-miR-6819-5p,hsa-miR-6805-3p,hsa-miR-17-3p,,,,,
CBX6,0.0444444444444444,0.303,0.7,0.697,4,hsa-miR-342-5p,hsa-miR-5698,hsa-miR-6819-5p,hsa-miR-6877-5p,,,,,
TXNDC16,0.0444444444444444,0.126,0.635,0.485,4,hsa-miR-940,hsa-miR-6776-5p,hsa-miR-17-3p,hsa-miR-6780a-5p,,,,,
GRSF1,0.0444444444444444,0.0477,0.503,0.346,4,hsa-miR-4685-3p,hsa-miR-940,hsa-miR-3652,hsa-miR-504-3p,,,,,
RDH10,0.0444444444444444,0.0477,0.503,0.346,4,hsa-miR-6793-5p,hsa-miR-6741-5p,hsa-miR-6776-5p,hsa-miR-6780a-5p,,,,,
SF3A1,0.0444444444444444,0.0477,0.503,0.346,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,,,
IGF1R,0.0444444444444444,0.626,0.757,1.06,4,hsa-miR-5572,hsa-miR-5698,hsa-miR-4456,hsa-miR-940,,,,,
MLXIP,0.0444444444444444,0.129,0.635,0.489,4,hsa-miR-940,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,
CALR,0.0444444444444444,0.129,0.635,0.489,4,hsa-miR-516a-5p,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-5698,,,,,
VPS53,0.0444444444444444,0.12,0.628,0.476,4,hsa-miR-5100,hsa-miR-6805-3p,hsa-miR-6776-5p,hsa-miR-6780a-5p,,,,,
ZNF154,0.0444444444444444,0.117,0.617,0.472,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,,,
GFPT1,0.0444444444444444,0.0595,0.514,0.372,4,hsa-miR-646,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,,,
PPIL4,0.0444444444444444,0.0534,0.513,0.359,4,hsa-miR-17-3p,hsa-miR-1227-3p,hsa-miR-6776-5p,hsa-miR-940,,,,,
LINC00598,0.0444444444444444,0.495,0.722,0.905,4,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-6780a-5p,hsa-miR-940,,,,,
RIF1,0.0444444444444444,0.0534,0.513,0.359,4,hsa-miR-646,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-6780a-5p,,,,,
ZBTB46,0.0444444444444444,0.112,0.611,0.463,4,hsa-miR-4313,hsa-miR-4472,hsa-miR-6793-5p,hsa-miR-7110-5p,,,,,
TSKU,0.0444444444444444,0.112,0.611,0.463,4,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-6780a-5p,hsa-miR-940,,,,,
TET3,0.0444444444444444,0.109,0.611,0.459,4,hsa-miR-1202,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-31-3p,,,,,
TANGO2,0.0444444444444444,0.0515,0.513,0.355,4,hsa-miR-6780a-5p,hsa-miR-1227-3p,hsa-miR-6776-5p,hsa-miR-940,,,,,
PURB,0.0444444444444444,0.372,0.7,0.77,4,hsa-miR-320b,hsa-miR-944,hsa-miR-6780a-5p,hsa-miR-940,,,,,
ZNF786,0.0444444444444444,0.0496,0.513,0.351,4,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-1202,,,,,
SRSF7,0.0444444444444444,0.114,0.611,0.467,4,hsa-miR-320d,hsa-miR-320b,hsa-miR-6780a-5p,hsa-miR-940,,,,,
ABCF1,0.0444444444444444,0.0554,0.514,0.364,4,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
MGAT1,0.0444444444444444,0.000252,0.138,0.0822,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,,,
PRKAR2A,0.0444444444444444,0.109,0.611,0.459,4,hsa-miR-646,hsa-miR-6780a-5p,hsa-miR-17-3p,hsa-miR-4685-3p,,,,,
FAM151B,0.0444444444444444,0.0595,0.514,0.372,4,hsa-miR-5572,hsa-miR-185-3p,hsa-miR-6776-5p,hsa-miR-6780a-5p,,,,,
GTF3C1,0.0444444444444444,0.0259,0.411,0.286,4,hsa-miR-941,hsa-miR-3652,hsa-miR-6780a-5p,hsa-miR-940,,,,,
MYO5A,0.0444444444444444,0.0328,0.443,0.307,4,hsa-miR-646,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-7110-5p,,,,,
COX10,0.0444444444444444,0.0259,0.411,0.286,4,hsa-miR-5100,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,,,,,
SEC22C,0.0444444444444444,0.0101,0.311,0.216,4,hsa-miR-6776-5p,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-185-3p,,,,,
SPRY4,0.0444444444444444,0.211,0.687,0.593,4,hsa-miR-4472,hsa-miR-185-3p,hsa-miR-342-5p,hsa-miR-6819-5p,,,,,
SLC16A1,0.0444444444444444,0.178,0.67,0.554,4,hsa-miR-6730-5p,hsa-miR-5100,hsa-miR-6805-3p,hsa-miR-1202,,,,,
KLHL7,0.0444444444444444,0.0116,0.335,0.225,4,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,
RICTOR,0.0444444444444444,0.0116,0.335,0.225,4,hsa-miR-31-3p,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-5698,,,,,
ZFP36,0.0444444444444444,0.0124,0.345,0.229,4,hsa-miR-6793-5p,hsa-miR-17-3p,hsa-miR-4472,hsa-miR-5698,,,,,
CTXN1,0.0444444444444444,0.0132,0.35,0.234,4,hsa-miR-185-3p,hsa-miR-4472,hsa-miR-4489,hsa-miR-7110-5p,,,,,
MID1IP1,0.0444444444444444,0.0132,0.35,0.234,4,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-7110-5p,,,,,
RBL1,0.0444444444444444,0.0141,0.367,0.238,4,hsa-miR-940,hsa-miR-646,hsa-miR-5698,hsa-miR-504-3p,,,,,
SMG1,0.0444444444444444,0.214,0.687,0.597,4,hsa-miR-17-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
HIC2,0.0444444444444444,0.244,0.693,0.632,4,hsa-miR-4769-5p,hsa-miR-6776-5p,hsa-miR-4483,hsa-miR-504-3p,,,,,
ATXN2,0.0444444444444444,0.0159,0.37,0.247,4,hsa-miR-6819-5p,hsa-miR-6793-5p,hsa-miR-4472,hsa-miR-342-5p,,,,,
CYP2W1,0.0444444444444444,0.015,0.37,0.242,4,hsa-miR-6780a-5p,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,,,,,
SAR1A,0.0444444444444444,0.241,0.693,0.628,4,hsa-miR-6780a-5p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
TMEM189,0.0444444444444444,0.244,0.693,0.632,4,hsa-miR-1224-5p,hsa-miR-4472,hsa-miR-5698,hsa-miR-4456,,,,,
ZBTB8B,0.0444444444444444,0.203,0.68,0.584,4,hsa-miR-6877-5p,hsa-miR-1227-3p,hsa-miR-940,hsa-miR-646,,,,,
PLXDC2,0.0444444444444444,0.0168,0.37,0.251,4,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,
UBE2V1,0.0444444444444444,0.237,0.693,0.623,4,hsa-miR-1224-5p,hsa-miR-4472,hsa-miR-5698,hsa-miR-4456,,,,,
SSTR2,0.0444444444444444,0.0159,0.37,0.247,4,hsa-miR-1227-3p,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6776-5p,,,,,
ZMAT3,0.0444444444444444,0.241,0.693,0.628,4,hsa-miR-944,hsa-miR-1224-5p,hsa-miR-646,hsa-miR-6730-5p,,,,,
ZNF451,0.0444444444444444,0.237,0.693,0.623,4,hsa-miR-320d,hsa-miR-320b,hsa-miR-940,hsa-miR-6780a-5p,,,,,
STK4,0.0444444444444444,0.307,0.7,0.701,4,hsa-miR-6780a-5p,hsa-miR-4769-5p,hsa-miR-5698,hsa-miR-6730-5p,,,,,
LRTOMT,0.0444444444444444,0.0178,0.376,0.255,4,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-1227-3p,hsa-miR-4483,,,,,
PALM2-AKAP2,0.0444444444444444,0.0178,0.376,0.255,4,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-4685-3p,hsa-miR-1470,,,,,
MTO1,0.0444444444444444,0.0189,0.381,0.26,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,,,
R3HDM4,0.0444444444444444,0.0189,0.381,0.26,4,hsa-miR-342-5p,hsa-miR-5698,hsa-miR-6819-5p,hsa-miR-940,,,,,
NMNAT2,0.0444444444444444,0.0108,0.323,0.221,4,hsa-miR-1224-5p,hsa-miR-5572,hsa-miR-342-5p,hsa-miR-7110-5p,,,,,
SUMO1,0.0444444444444444,0.168,0.67,0.541,4,hsa-miR-504-3p,hsa-miR-4472,hsa-miR-5698,hsa-miR-6076,,,,,
MAGI3,0.0444444444444444,0.02,0.383,0.264,4,hsa-miR-4483,hsa-miR-6776-5p,hsa-miR-3652,hsa-miR-1227-3p,,,,,
UBE2S,0.0444444444444444,0.00942,0.301,0.212,4,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-4443,hsa-miR-4313,,,,,
FAM9B,0.0444444444444444,0.00308,0.231,0.156,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,,,
HEBP2,0.0444444444444444,0.00415,0.231,0.169,4,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,
INTS3,0.0444444444444444,0.00341,0.231,0.16,4,hsa-miR-185-3p,hsa-miR-3652,hsa-miR-4443,hsa-miR-4489,,,,,
KDELC2,0.0444444444444444,0.00455,0.231,0.173,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-646,,,,,
METTL27,0.0444444444444444,0.00377,0.231,0.164,4,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,
MEF2D,0.0444444444444444,0.203,0.68,0.584,4,hsa-miR-4472,hsa-miR-4685-3p,hsa-miR-5572,hsa-miR-6819-5p,,,,,
QPRT,0.0444444444444444,0.00377,0.231,0.164,4,hsa-miR-1470,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
SNX22,0.0444444444444444,0.00415,0.231,0.169,4,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
IP6K1,0.0444444444444444,0.203,0.68,0.584,4,hsa-miR-17-3p,hsa-miR-342-5p,hsa-miR-6780a-5p,hsa-miR-6819-5p,,,,,
TEP1,0.0444444444444444,0.00308,0.231,0.156,4,hsa-miR-6805-3p,hsa-miR-5698,hsa-miR-504-3p,hsa-miR-3652,,,,,
ZNF74,0.0444444444444444,0.00415,0.231,0.169,4,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,
BACH1,0.0444444444444444,0.229,0.692,0.615,4,hsa-miR-944,hsa-miR-31-3p,hsa-miR-4685-3p,hsa-miR-1185-2-3p,,,,,
MAGT1,0.0444444444444444,0.00592,0.258,0.186,4,hsa-miR-1202,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,
MAF,0.0444444444444444,0.00697,0.282,0.195,4,hsa-miR-5100,hsa-miR-342-5p,hsa-miR-4472,hsa-miR-6819-5p,,,,,
MYH11,0.0444444444444444,0.00753,0.282,0.199,4,hsa-miR-6780a-5p,hsa-miR-4472,hsa-miR-3652,hsa-miR-504-3p,,,,,
PIM3,0.0444444444444444,0.00753,0.282,0.199,4,hsa-miR-940,hsa-miR-6780a-5p,hsa-miR-185-3p,hsa-miR-4489,,,,,
TCF3,0.0444444444444444,0.00697,0.282,0.195,4,hsa-miR-342-5p,hsa-miR-4472,hsa-miR-6819-5p,hsa-miR-7110-5p,,,,,
ZNF485,0.0444444444444444,0.00753,0.282,0.199,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-31-3p,,,,,
MAP4K2,0.0444444444444444,0.00813,0.293,0.203,4,hsa-miR-646,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
IDS,0.0444444444444444,0.00876,0.299,0.208,4,hsa-miR-185-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
MLX,0.0444444444444444,0.00876,0.299,0.208,4,hsa-miR-320b,hsa-miR-342-5p,hsa-miR-5572,hsa-miR-6819-5p,,,,,
WDR17,0.0444444444444444,0.00876,0.299,0.208,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,,,
GPSM2,0.0444444444444444,0.00223,0.224,0.143,4,hsa-miR-17-3p,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,,
SPATA6,0.0444444444444444,0.00942,0.301,0.212,4,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-5698,,,,,
TIMM8A,0.0444444444444444,0.178,0.67,0.554,4,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-3652,hsa-miR-6743-3p,,,,,
SEMA3E,0.0444444444444444,0.0189,0.381,0.26,4,hsa-miR-1470,hsa-miR-4685-3p,hsa-miR-17-3p,hsa-miR-4754,,,,,
AP1S1,0.0444444444444444,0.0132,0.35,0.234,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-7110-5p,,,,,
AKR7L,0.0444444444444444,0.000158,0.121,0.0736,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,,,
N4BP1,0.0444444444444444,0.0246,0.402,0.281,4,hsa-miR-320b,hsa-miR-646,hsa-miR-1224-5p,hsa-miR-6776-5p,,,,,
F2,0.0444444444444444,0.0211,0.39,0.268,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,,,,,
GTF2F1,0.0444444444444444,0.0211,0.39,0.268,4,hsa-miR-6076,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
THAP6,0.0444444444444444,0.0246,0.402,0.281,4,hsa-miR-1290,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,,
FAM210B,0.0444444444444444,0.00119,0.197,0.121,4,hsa-miR-3652,hsa-miR-4685-3p,hsa-miR-504-3p,hsa-miR-5698,,,,,
RGS9BP,0.0444444444444444,0.0246,0.402,0.281,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,,,,,
NKPD1,0.0444444444444444,0.00119,0.197,0.121,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,,,
ZNF573,0.0444444444444444,0.155,0.66,0.524,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6780a-5p,,,,,
AKAP2,0.0444444444444444,0.0211,0.39,0.268,4,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-4685-3p,hsa-miR-1470,,,,,
WHAMM,0.0444444444444444,0.0234,0.393,0.277,4,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-1227-3p,hsa-miR-6776-5p,,,,,
CENPM,0.0444444444444444,0.0222,0.393,0.273,4,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,,,,,
HIST3H3,0.0444444444444444,0.00136,0.2,0.126,4,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-4483,hsa-miR-342-5p,,,,,
EEF2K,0.0444444444444444,0.0234,0.393,0.277,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6780a-5p,,,,,
VPS13D,0.0444444444444444,0.00136,0.2,0.126,4,hsa-miR-342-5p,hsa-miR-4685-3p,hsa-miR-320d,hsa-miR-320b,,,,,
ST3GAL1,0.0444444444444444,0.00136,0.2,0.126,4,hsa-miR-1470,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,
ARL10,0.0444444444444444,0.189,0.67,0.567,4,hsa-miR-320d,hsa-miR-320b,hsa-miR-6780a-5p,hsa-miR-940,,,,,
NQO2,0.0444444444444444,0.0222,0.393,0.273,4,hsa-miR-941,hsa-miR-1227-3p,hsa-miR-320d,hsa-miR-320b,,,,,
SLC4A1,0.033333333333333326,0.0871,0.595,0.352,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ALG14,0.033333333333333326,0.212,0.687,0.531,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
GMEB1,0.033333333333333326,0.163,0.66,0.467,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
ZNF641,0.033333333333333326,0.176,0.67,0.485,3,hsa-miR-6780a-5p,hsa-miR-4483,hsa-miR-6776-5p,,,,,,
ESYT2,0.033333333333333326,0.104,0.607,0.381,3,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,,,
FAM241A,0.033333333333333326,0.589,0.748,1.0,3,hsa-miR-6776-5p,hsa-miR-1227-3p,hsa-miR-6780a-5p,,,,,,
RNPS1,0.033333333333333326,0.101,0.598,0.375,3,hsa-miR-342-5p,hsa-miR-4483,hsa-miR-6776-5p,,,,,,
